employee_id,skill_name,skill_level,date_uploaded
EMP0001,Data Analysis,Beginner,2026-03-27
EMP0001,Stakeholder Management,Advanced,2026-04-15
EMP0001,Power BI,Advanced,2025-08-31
EMP0002,Budgeting,Beginner,2026-02-15
EMP0002,Python,Beginner,2025-09-21
EMP0002,Data Analysis,Advanced,2026-05-24
EMP0003,SQL,Beginner,2025-06-14
EMP0003,Budgeting,Intermediate,2025-12-14
EMP0003,Power BI,Intermediate,2026-03-19
EMP0003,Agile,Beginner,2025-12-16
EMP0003,Change Management,Beginner,2026-04-20
EMP0003,Communication,Intermediate,2026-04-18
EMP0003,Data Analysis,Intermediate,2025-12-12
EMP0004,Stakeholder Management,Advanced,2026-01-07
EMP0004,Python,Advanced,2025-07-25
EMP0004,Risk Management,Intermediate,2025-08-15
EMP0004,Tableau,Beginner,2025-06-11
EMP0004,Machine Learning,Beginner,2026-05-14
EMP0004,SQL,Advanced,2026-02-10
EMP0004,Budgeting,Intermediate,2026-04-27
EMP0005,Leadership,Advanced,2025-12-02
EMP0005,Coaching,Beginner,2025-11-29
EMP0005,Stakeholder Management,Intermediate,2026-02-19
EMP0005,Power BI,Advanced,2026-01-21
EMP0006,Project Management,Intermediate,2025-11-24
EMP0006,Power BI,Intermediate,2025-07-14
EMP0006,Tableau,Advanced,2025-08-25
EMP0007,Employment Law,Beginner,2025-12-27
EMP0007,Python,Intermediate,2026-01-20
EMP0007,Power BI,Beginner,2026-02-18
EMP0007,Budgeting,Advanced,2025-12-27
EMP0008,Agile,Intermediate,2026-03-27
EMP0008,Coaching,Beginner,2025-08-23
EMP0008,Risk Management,Advanced,2026-01-23
EMP0008,Excel,Advanced,2025-08-11
EMP0009,Coaching,Beginner,2026-05-13
EMP0009,Recruitment,Beginner,2026-03-20
EMP0009,Power BI,Advanced,2026-03-17
EMP0009,Excel,Advanced,2025-11-02
EMP0009,Stakeholder Management,Advanced,2026-05-05
EMP0009,Agile,Intermediate,2025-11-23
EMP0010,Risk Management,Advanced,2026-04-09
EMP0010,Machine Learning,Advanced,2025-09-05
EMP0010,Stakeholder Management,Intermediate,2025-07-13
EMP0010,Agile,Intermediate,2026-04-10
EMP0010,Budgeting,Intermediate,2025-10-27
EMP0010,Data Analysis,Beginner,2025-10-17
EMP0010,Employment Law,Beginner,2026-01-23
EMP0011,Project Management,Advanced,2025-07-30
EMP0011,Machine Learning,Beginner,2026-03-20
EMP0011,Leadership,Intermediate,2026-03-16
EMP0011,Budgeting,Advanced,2025-09-08
EMP0011,Employment Law,Beginner,2025-08-04
EMP0011,Communication,Intermediate,2025-09-29
EMP0011,Risk Management,Beginner,2026-04-10
EMP0012,Change Management,Beginner,2026-04-24
EMP0012,Power BI,Advanced,2025-10-01
EMP0012,Python,Beginner,2025-09-07
EMP0012,Leadership,Beginner,2026-04-02
EMP0012,Tableau,Advanced,2025-10-06
EMP0013,Project Management,Advanced,2026-02-24
EMP0013,Stakeholder Management,Advanced,2025-12-29
EMP0013,Budgeting,Intermediate,2025-06-28
EMP0013,Leadership,Advanced,2025-11-27
EMP0013,Machine Learning,Intermediate,2025-09-15
EMP0013,Coaching,Intermediate,2026-04-06
EMP0013,Recruitment,Beginner,2026-02-11
EMP0014,Employment Law,Advanced,2026-02-14
EMP0014,Data Analysis,Beginner,2026-05-01
EMP0014,Power BI,Advanced,2025-07-18
EMP0015,Power BI,Intermediate,2026-05-01
EMP0015,Excel,Advanced,2026-02-05
EMP0015,Python,Intermediate,2025-06-29
EMP0016,SQL,Intermediate,2026-03-01
EMP0016,Communication,Beginner,2026-04-18
